Name,Address,City_zip,Telephone,Reviews,Stars,Page_Link
City Cars Scotland Ltd,"Brookfield Murtleden Road, Milltimber",Milltimber AB13 0HS,01224 548820,2,4.5,https://www.cargurus.co.uk/Cars/m-City-Cars-Scotland-Ltd-sp402502
Mercedes-Benz of Aberdeen,31 Craigshaw Drive,Aberdeen AB12 3BE,01224 426525,5,4.8,https://www.cargurus.co.uk/Cars/m-Mercedes-Benz-of-Aberdeen-sp394400
Aberdeen Volvo,Wellington Rd,Aberdeen AB12 3BJ,01224 426907,7,4.4,https://www.cargurus.co.uk/Cars/m-Aberdeen-Volvo-sp394401
Aberdeen Toyota,Wellington Rd,Aberdeen AB12 3BJ,01224 426263,7,3.3,https://www.cargurus.co.uk/Cars/m-Aberdeen-Toyota-sp394402
Aberdeen Craigshaw Road Complex,Craigshaw Road,Aberdeen AB12 3AR,01224 426445,9,4.8,https://www.cargurus.co.uk/Cars/m-Aberdeen-Craigshaw-Road-Complex-sp394404
John Clark MINI Aberdeen,Balmoral Business Park,Wellington Road AB12 3JG,01224 335549,,,https://www.cargurus.co.uk/Cars/m-John-Clark-MINI-Aberdeen-sp394682
Specialist Cars Nissan Aberdeen,Balmoral Business Park,Altens AB12 3JG,01224 402980,8,4.8,https://www.cargurus.co.uk/Cars/m-Specialist-Cars-Nissan-Aberdeen-sp394683
Specialist Cars Volkswagen Aberdeen,Craigshaw Crescent,Aberdeen AB12 3AW,01224 384190,5,5,https://www.cargurus.co.uk/Cars/m-Specialist-Cars-Volkswagen-Aberdeen-sp394684
Specialist Cars Skoda Aberdeen,Craigshaw Road,Aberdeen AB12 3AR,01224 402910,1,5,https://www.cargurus.co.uk/Cars/m-Specialist-Cars-Skoda-Aberdeen-sp394687
Specialist Cars SEAT Aberdeen,Craigshaw Road,Aberdeen AB12 3AR,01224 402910,,,https://www.cargurus.co.uk/Cars/m-Specialist-Cars-SEAT-Aberdeen-sp394689
Porsche Centre Aberdeen,Wellington Road,Aberdeen AB12 3TY,01224 877778,2,4,https://www.cargurus.co.uk/Cars/m-Porsche-Centre-Aberdeen-sp395786
Arnold Clark Transit Centre Aberdeen,Girdleness Road,"Aberdeen, Aberdeen City AB11 8DU",01224 417078,,,https://www.cargurus.co.uk/Cars/m-Arnold-Clark-Transit-Centre-Aberdeen-sp480844
Arnold Clark Kia (Aberdeen),Hillview Road,Aberdeen AB12 3HB,01224 421616,4,3.5,https://www.cargurus.co.uk/Cars/m-Arnold-Clark-Kia-Aberdeen-sp464505
Land Rover Aberdeen,"Wellington Road, West Tullos Industrial Estate",Aberdeen AB12 3LQ,01224 937086,7,3.9,https://www.cargurus.co.uk/Cars/m-Land-Rover-Aberdeen-sp395787
Motorchoice Aberdeen,Abbotswell Road,Aberdeen AB12 3AD,01224 677890,8,4.1,https://www.cargurus.co.uk/Cars/m-Motorchoice-Aberdeen-sp442115
John Clark Dacia Aberdeen,Abbotswell Road,"Aberdeen, Aberdeen City AB12 3AD",01224 677892,1,5,https://www.cargurus.co.uk/Cars/m-John-Clark-Dacia-Aberdeen-sp467773
Specialist Cars Renault Aberdeen,Abbotswell Road,"Aberdeen, Aberdeen City AB12 3AD",01224 677891,1,5,https://www.cargurus.co.uk/Cars/m-Specialist-Cars-Renault-Aberdeen-sp467774
Westend Motor Company,14 South College Street,Aberdeen AB11 6JX,01224 576228,1,5,https://www.cargurus.co.uk/Cars/m-Westend-Motor-Company-sp402303
Aberdeen Audi,Wellington Road,Altens AB12 3JG,01224 336802,5,5,https://www.cargurus.co.uk/Cars/m-Aberdeen-Audi-sp394688
R and A Classics ,"The Old Smithy,Hatton of Fintray",Fintray AB21 0YG,01224 791035,,,https://www.cargurus.co.uk/Cars/m-R-and-A-Classics-sp481197
Newmachar Motors,Hillbrae Way Newmachar,Aberdeen AB21 0UR,01651 862011,6,5,https://www.cargurus.co.uk/Cars/m-Newmachar-Motors-sp403436
"Clark Commercials Dyce, Aberdeen",30 Wellheads Drive,Aberdeen AB21 7GQ,01224 339057,2,4.5,https://www.cargurus.co.uk/Cars/m-Clark-Commercials-Dyce-Aberdeen-sp394690
Abz Cars,Tobermory Cottage Dyce Drive,Kirkhill Industrial Estate AB210ER,01224 379394,,,https://www.cargurus.co.uk/Cars/m-Abz-Cars-sp448375
Sandy Thain Car Sales Ltd,1 Midmill Business Park,Midmill Business Park AB51 0TG,01467 633633,1,1,https://www.cargurus.co.uk/Cars/m-Sandy-Thain-Car-Sales-Ltd-sp407223
Kintore Car Sales,Midmill,Inverurie AB51 0UY,0000,1,5,https://www.cargurus.co.uk/Cars/m-Kintore-Car-Sales-sp402425
Lawrence Of Kemnay,Elphinstone Road Port Elphinstone,Inverurie AB51 3RN,01467 629926,4,5,https://www.cargurus.co.uk/Cars/m-Lawrence-Of-Kemnay-sp402582
Victoria Garage,Victoria Hall,Aberdeen AB23 8YR,01358 743053,,,https://www.cargurus.co.uk/Cars/m-Victoria-Garage-sp397457
Jaguar Aberdeen,"West Tullos Industrial Estate, Wellington Road",Aberdeen AB12 3LQ,01224 452982,3,2.3,https://www.cargurus.co.uk/Cars/m-Jaguar-Aberdeen-sp395789
Arnold Clark Hyundai (Aberdeen),Whitemyres Place,Aberdeen AB16 6HT,01224 426137,2,5,https://www.cargurus.co.uk/Cars/m-Arnold-Clark-Hyundai-Aberdeen-sp394407
Murisons Cars,Rosehill Garage 94 Hilton Drive,Aberdeen AB244NL,01224 276300,,,https://www.cargurus.co.uk/Cars/m-Murisons-Cars-sp448053
Arnold Clark Aberdeen Fiat / Jeep / Abarth,Whitemyres Place,Aberdeen AB16 6HZ,01224 426303,1,5,https://www.cargurus.co.uk/Cars/m-Arnold-Clark-Aberdeen-Fiat--Jeep--Abarth-sp394408
Park's Honda Aberdeen,Whitemyres Place Lang Stracht,Aberdeen AB16 6HZ,01292 445540,11,4.8,https://www.cargurus.co.uk/Cars/m-Parks-Honda-Aberdeen-sp403130
Vauxhall Aberdeen,Lang Stracht,Aberdeen AB16 6LA,01224 452971,5,3.2,https://www.cargurus.co.uk/Cars/m-Vauxhall-Aberdeen-sp395795
Westhill Cars Ltd,Enterprise Drive Westhill Industrial Estate,Westhill AB32 6TQ,01224 744411,1,5,https://www.cargurus.co.uk/Cars/m-Westhill-Cars-Ltd-sp399368
